Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party
Adrian Smith,RepAdrianSmith,2011-05-10T00:00:00Z,296245061,male,United States of America,1970-12-19T00:00:00Z,49,repadriansmith,Republican Party
Adriano Espaillat,RepEspaillat,2017-01-05T00:00:00Z,8.17076E+17,male,Dominican Republic,1954-09-27T00:00:00Z,66,repadrianoespaillat,Democratic Party
Aftab Pureval,aftabpureval,2014-03-20T00:00:00Z,2400005258,male,United States of America,1982-09-09T00:00:00Z,38,aftabpureval,Democratic Party
Aja Brown,AjaLBrown,2013-02-12T00:00:00Z,1173297636,female,United States of America,1982-04-17T00:00:00Z,38,ajalbrown,Democratic Party
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,1932-07-31T00:00:00Z,88,,New Party Sakigake
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,1932-07-31T00:00:00Z,88,,Japan Socialist Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,1951-05-21T00:00:00Z,69,,Minnesota Democratic–Farmer–Labor Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,1951-05-21T00:00:00Z,69,,Democratic Party
Al Gore,algore,2008-11-06T00:00:00Z,17220934,male,United States of America,1948-03-31T00:00:00Z,72,,Democratic Party
Al Green,RepAlGreen,2010-06-16T00:00:00Z,156333623,male,United States of America,1947-09-01T00:00:00Z,73,repalgreen,Democratic Party
Al Gross,DrAlGrossAK,2017-01-01T00:00:00Z,8.17869E+17,male,United States of America,1962-04-13T00:00:00Z,58,dralgross,independent politician
Al Muratsuchi,asmmuratsuchi,2017-02-13T00:00:00Z,8.31279E+17,male,Japan,1964-09-04T00:00:00Z,56,asmmuratsuchi,Democratic Party
Al Muratsuchi,asmmuratsuchi,2017-02-13T00:00:00Z,8.31279E+17,male,Japan,1964-09-04T00:00:00Z,56,asmmuratsuchi,California Democratic Party
Al Sharpton,TheRevAl,2009-05-25T00:00:00Z,42389136,male,United States of America,1954-10-03T00:00:00Z,66,,Democratic Party
Alan Grayson,AlanGrayson,2009-05-18T00:00:00Z,41017380,male,United States of America,1958-03-13T00:00:00Z,62,,Democratic Party
Alan Lowenthal,replowenthal,2013-01-02T00:00:00Z,1055730738,male,United States of America,1941-03-08T00:00:00Z,79,replowenthal,Democratic Party
Albert Bryan Jr.,govbryan,2019-02-23T00:00:00Z,1.09929E+18,male,United States of America,1968-02-21T00:00:00Z,52,,Democratic Party of the Virgin Islands
Alberto Gonzales,argonzales,,,male,United States of America,1955-08-04T00:00:00Z,65,,Republican Party
Albio Sires,RepSires,2009-01-06T00:00:00Z,18696134,male,Cuba,1951-01-26T00:00:00Z,69,,Democratic Party
Albio Sires,RepSires,2009-01-06T00:00:00Z,18696134,male,Cuba,1951-01-26T00:00:00Z,69,,Republican Party
Alcee Hastings,rephastingsfl,2014-04-08T00:00:00Z,2433737761,male,United States of America,1936-09-05T00:00:00Z,84,,Democratic Party
Alex Azar,SecAzar,,,male,United States of America,1967-06-17T00:00:00Z,53,,Republican Party
Alex B. Morse,AlexBMorse,,,male,United States of America,1989-01-29T00:00:00Z,31,alex.morse,Democratic Party
Alex Padilla,alexpadilla4ca,2009-10-14T00:00:00Z,82489457,male,United States of America,1973-03-22T00:00:00Z,47,alexpadilla4ca,Democratic Party
Alex X. Mooney,RepAlexMooney,2015-01-06T00:00:00Z,2964526557,male,United States of America,1971-06-05T00:00:00Z,49,repalexmooney,Republican Party
Alexandra Lúgaro,alexandralugaro,2014-08-19T00:00:00Z,2746711039,female,United States of America,1981-06-10T00:00:00Z,39,alexandralugaro,independent politician
Alexandra Lúgaro,alexandralugaro,2014-08-19T00:00:00Z,2746711039,female,United States of America,1981-06-10T00:00:00Z,39,alexandralugaro,Movimiento Victoria Ciudadana
Alexandria Ocasio-Cortez,AOC,2018-12-29T00:00:00Z,1.0791E+18,female,United States of America,1989-10-13T00:00:00Z,31,aoc,Democratic Party
Alexandria Ocasio-Cortez,AOC,2010-04-28T00:00:00Z,138203134,female,United States of America,1989-10-13T00:00:00Z,31,aoc,Democratic Party
Alfonso H. Lopez,Lopez4VA,2011-05-12T00:00:00Z,297428020,male,United States of America,1970-07-28T00:00:00Z,50,,Democratic Party
"Alfred Lawson, Jr.",RepAlLawsonJr,2017-01-09T00:00:00Z,8.18472E+17,male,United States of America,1948-09-21T00:00:00Z,72,,Democratic Party
Alisha Thomas Morgan,AlishaMorgan,,t2086204400,female,United States of America,1978-09-05T00:00:00Z,42,,Democratic Party
Alison Lundergan Grimes,AlisonForKY,2011-01-02T00:00:00Z,233368344,female,United States of America,1978-11-23T00:00:00Z,41,,Democratic Party
Allen Andrews,AllenAndrewsSR1,,,male,United States of America,1967-02-05T00:00:00Z,53,,Republican Party
Allen West,allenwest,2011-01-01T00:00:00Z,237403203,male,United States of America,1961-02-07T00:00:00Z,59,allenbwest,Republican Party
Allen West,allenwest,2011-01-12T00:00:00Z,237403203,male,United States of America,1961-02-07T00:00:00Z,59,allenbwest,Republican Party
Alma Adams,RepAdams,2014-12-11T00:00:00Z,2916086925,female,United States of America,1946-05-27T00:00:00Z,74,repadams,Democratic Party
Alveda King,AlvedaCKing,2014-07-09T00:00:00Z,2693406407,female,United States of America,1951-01-22T00:00:00Z,69,,Republican Party
Alveda King,AlvedaCKing,2014-07-09T00:00:00Z,2693406407,female,United States of America,1951-01-22T00:00:00Z,69,,Democratic Party
Alyssa Mastromonaco,AlyssaMastro44,2014-04-23T00:00:00Z,2504452635,female,United States of America,1976-02-22T00:00:00Z,44,,Democratic Party
Amanda Fritz,AmandaFritzRN,2012-05-18T00:00:00Z,584256712,female,United Kingdom,1958-04-01T00:00:00Z,62,,Democratic Party
Ami Bera,RepBera,2012-11-16T00:00:00Z,950783972,male,United States of America,1965-03-02T00:00:00Z,55,repbera,Democratic Party
Amy Klobuchar,amyklobuchar,2009-04-20T00:00:00Z,33537967,female,United States of America,1960-05-25T00:00:00Z,60,amyklobuchar,Minnesota Democratic–Farmer–Labor Party
Amy Klobuchar,amyklobuchar,2009-04-20T00:00:00Z,33537967,female,United States of America,1960-05-25T00:00:00Z,60,amyklobuchar,Democratic Party
Amy McGrath,AmyMcGrathKY,2014-08-31T00:00:00Z,2783231383,female,United States of America,1975-06-01T00:00:00Z,45,amymcgrathky,Democratic Party
Ana Sol Gutierrez,asolg,2010-02-06T00:00:00Z,111989710,female,El Salvador,1942-01-11T00:00:00Z,78,,Democratic Party
Anatoly Kashpirovsky,Kashpirovskiy,2010-10-12T00:00:00Z,201615962,male,Ukraine,1939-08-11T00:00:00Z,81,anatoly_kashpirovskiy,LDPR
Ander Crenshaw,AnderCrenshaw,2009-02-06T00:00:00Z,20209807,male,United States of America,1944-09-01T00:00:00Z,76,,Republican Party
Andrea Stewart-Cousins,andreascousins,2009-04-30T00:00:00Z,36745613,female,United States of America,1950-09-02T00:00:00Z,70,,Democratic Party
Andrew Cuomo,NYGovCuomo,2010-12-30T00:00:00Z,232268199,male,United States of America,1957-12-06T00:00:00Z,62,andrewcuomo,Democratic Party
Andrew Gillum,AndrewGillum,2012-01-15T00:00:00Z,465046121,male,United States of America,1979-07-26T00:00:00Z,41,andrewgillum,Florida Democratic Party
Andrew Gillum,AndrewGillum,2012-01-15T00:00:00Z,465046121,male,United States of America,1979-07-26T00:00:00Z,41,andrewgillum,Democratic Party
Andrew Ginther,andrewginther,2011-02-28T00:00:00Z,258851325,male,United States of America,1975-04-27T00:00:00Z,45,,Democratic Party
Andrew R. Wheeler,EPAAWheeler,2017-02-17T00:00:00Z,8.32672E+17,male,United States of America,1964-01-01T00:00:00Z,56,,Republican Party
Andrew Romanoff,Romanoff2020,,69343589,male,United States of America,1966-08-24T00:00:00Z,54,romanoff2020,Democratic Party
André Carson,RepAndreCarson,2010-10-06T00:00:00Z,199325935,male,United States of America,1974-10-16T00:00:00Z,46,repandrecarson,Democratic Party
Andy Barr,RepAndyBarr,2013-01-14T00:00:00Z,1089334250,male,United States of America,1973-07-24T00:00:00Z,47,,Republican Party
Andy Beshear,AndyBeshearKY,2015-01-20T00:00:00Z,2991360032,male,United States of America,1977-11-29T00:00:00Z,42,,Democratic Party
Andy Biggs,RepAndyBiggsAZ,2017-01-04T00:00:00Z,8.16653E+17,male,United States of America,1958-11-07T00:00:00Z,62,repandybiggs,Republican Party
Andy Harris,RepAndyHarrisMD,2012-11-20T00:00:00Z,960962340,male,United States of America,1957-01-25T00:00:00Z,63,,Republican Party
Andy Kim,RepAndyKimNJ,2018-12-28T00:00:00Z,1.07877E+18,male,United States of America,1982-07-12T00:00:00Z,38,andykimnj,Democratic Party
Andy Kim,AndyKimNJ,2018-12-28T00:00:00Z,1.07877E+18,male,United States of America,1982-07-12T00:00:00Z,38,andykimnj,Democratic Party
Andy Kim,RepAndyKimNJ,2009-03-13T00:00:00Z,24215154,male,United States of America,1982-07-12T00:00:00Z,38,andykimnj,Democratic Party
Andy Kim,AndyKimNJ,2009-03-13T00:00:00Z,24215154,male,United States of America,1982-07-12T00:00:00Z,38,andykimnj,Democratic Party
Andy Levin,RepAndyLevin,2019-01-01T00:00:00Z,1.08028E+18,male,United States of America,1960-08-10T00:00:00Z,60,,Democratic Party
Andy Schor,andyschor,,,male,United States of America,1975-03-20T00:00:00Z,45,andyschor,Democratic Party
Angela Alsobrooks,CEXAlsobrooks,2008-08-01T00:00:00Z,15935867,female,United States of America,1971-02-23T00:00:00Z,49,,Democratic Party
Angela Alsobrooks,CEXAlsobrooks,2008-08-21T00:00:00Z,15935867,female,United States of America,1971-02-23T00:00:00Z,49,,Democratic Party
Angela Stanton-King,theangiestanton,,,female,United States of America,,,theangelastanton,Republican Party
Angie Chen Button,angiechenbutton,,,female,Taiwan,1954-02-09T00:00:00Z,66,,Republican Party
Angie Chen Button,angiechenbutton,,,female,Empire of Japan,1954-02-09T00:00:00Z,66,,Republican Party
Angie Craig,AngieCraigMN,2019-01-01T00:00:00Z,1.08022E+18,female,United States of America,1972-02-14T00:00:00Z,48,,Democratic Party
Angie Craig,RepAngieCraig,2019-01-01T00:00:00Z,1.08022E+18,female,United States of America,1972-02-14T00:00:00Z,48,,Democratic Party
Angie Craig,AngieCraigMN,2011-11-13T00:00:00Z,411861905,female,United States of America,1972-02-14T00:00:00Z,48,,Democratic Party
Angie Craig,RepAngieCraig,2011-11-13T00:00:00Z,411861905,female,United States of America,1972-02-14T00:00:00Z,48,,Democratic Party
Angus King,SenAngusKing,,,male,United States of America,1944-03-31T00:00:00Z,76,,independent politician
Angus King,SenAngusKing,2013-01-07T00:00:00Z,1068481578,male,United States of America,1944-03-31T00:00:00Z,76,,independent politician
Anitere Flores,anitere_flores,2009-12-08T00:00:00Z,95357369,female,United States of America,1976-09-08T00:00:00Z,44,,Republican Party
Ann Kirkpatrick,RepKirkpatrick,2019-01-04T00:00:00Z,1.08124E+18,female,United States of America,1950-03-24T00:00:00Z,70,,Democratic Party
Ann Kirkpatrick,Ann_Kirkpatrick,2019-01-04T00:00:00Z,1.08124E+18,female,United States of America,1950-03-24T00:00:00Z,70,,Democratic Party
Ann Kirkpatrick,RepKirkpatrick,2011-03-25T00:00:00Z,272004287,female,United States of America,1950-03-24T00:00:00Z,70,,Democratic Party
Ann Kirkpatrick,Ann_Kirkpatrick,2011-03-25T00:00:00Z,272004287,female,United States of America,1950-03-24T00:00:00Z,70,,Democratic Party
Ann McLane Kuster,RepAnnieKuster,2013-01-03T00:00:00Z,1058717720,female,United States of America,1956-09-05T00:00:00Z,64,,Democratic Party
Ann Romney,AnnRomney,2011-03-10T00:00:00Z,263758909,female,United States of America,1949-04-16T00:00:00Z,71,,Republican Party
Ann Wagner,RepAnnWagner,2012-12-31T00:00:00Z,1051446626,female,United States of America,1962-09-13T00:00:00Z,58,repannwagner,Republican Party
Anna Eshoo,RepAnnaEshoo,2011-02-08T00:00:00Z,249348006,female,United States of America,1942-12-13T00:00:00Z,77,repannaeshoo,Democratic Party
Anna M. Valencia,annavalenciail,2014-04-15T00:00:00Z,2445918049,female,United States of America,1985-01-16T00:00:00Z,35,,Democratic Party
Annagrazia Calabria,AngieCalabria,,t2069084574,female,United States of America,1982-05-06T00:00:00Z,38,,The People of Freedom
Annise Parker,AnniseParker,2009-01-20T00:00:00Z,19249328,female,United States of America,1956-05-17T00:00:00Z,64,anniseparker,Democratic Party
Anthony Brindisi,RepBrindisi,2012-10-31T00:00:00Z,915831762,male,United States of America,1978-11-22T00:00:00Z,41,,Democratic Party
Anthony Brindisi,abrindisiny,2012-10-31T00:00:00Z,915831762,male,United States of America,1978-11-22T00:00:00Z,41,,Democratic Party
Anthony Brindisi,RepBrindisi,2019-01-04T00:00:00Z,1.08098E+18,male,United States of America,1978-11-22T00:00:00Z,41,,Democratic Party
Anthony Brindisi,abrindisiny,2019-01-04T00:00:00Z,1.08098E+18,male,United States of America,1978-11-22T00:00:00Z,41,,Democratic Party
Anthony Cannella,AnthonyCannella,2010-09-27T00:00:00Z,195638329,male,United States of America,1969-03-22T00:00:00Z,51,,California Republican Party
Anthony Cannella,AnthonyCannella,2010-09-27T00:00:00Z,195638329,male,United States of America,1969-03-22T00:00:00Z,51,,Republican Party
Anthony G. Brown,RepAnthonyBrown,2017-01-23T00:00:00Z,8.23553E+17,male,United States of America,1961-11-21T00:00:00Z,58,repanthonybrown,Democratic Party
Anthony Gonzalez,RepAGonzalez,2018-10-22T00:00:00Z,1.05438E+18,male,United States of America,1984-09-18T00:00:00Z,36,,Republican Party
Anthony Gonzalez,anthonygonzalez,2018-10-22T00:00:00Z,1.05438E+18,male,United States of America,1984-09-18T00:00:00Z,36,,Republican Party
Anthony Gonzalez,RepAGonzalez,2017-08-22T00:00:00Z,9.00026E+17,male,United States of America,1984-09-18T00:00:00Z,36,,Republican Party
Anthony Gonzalez,anthonygonzalez,2017-08-22T00:00:00Z,9.00026E+17,male,United States of America,1984-09-18T00:00:00Z,36,,Republican Party
Anthony Portantino,Portantino,,,male,United States of America,1961-01-29T00:00:00Z,59,portantino,Democratic Party
Anthony Rendon,Rendon63rd,2013-02-20T00:00:00Z,1200043633,male,United States of America,1968-03-04T00:00:00Z,52,,California Democratic Party
Anthony Scaramucci,scaramucci,2009-03-15T00:00:00Z,24578794,male,United States of America,1964-01-06T00:00:00Z,56,scaramucci,Republican Party
Anthony Weiner,anthonyweiner,2012-01-01T00:00:00Z,452407641,male,United States of America,1964-09-04T00:00:00Z,56,,Democratic Party
Antonio Cabral,RepTonyCabral,,,male,Portugal,1955-01-26T00:00:00Z,65,,Democratic Party
Antonio Delgado,DelgadoforNY19,2017-02-07T00:00:00Z,8.29062E+17,male,United States of America,1977-01-28T00:00:00Z,43,repantoniodelgado,Democratic Party
Antonio Delgado,repdelgado,2017-02-07T00:00:00Z,8.29062E+17,male,United States of America,1977-01-28T00:00:00Z,43,repantoniodelgado,Democratic Party
Antonio Delgado,DelgadoforNY19,2019-01-02T00:00:00Z,1.08049E+18,male,United States of America,1977-01-28T00:00:00Z,43,repantoniodelgado,Democratic Party
Antonio Delgado,repdelgado,2019-01-02T00:00:00Z,1.08049E+18,male,United States of America,1977-01-28T00:00:00Z,43,repantoniodelgado,Democratic Party
Antonio Villaraigosa,antonio4ca,2019-07-22T00:00:00Z,1.15337E+18,male,United States of America,1953-01-23T00:00:00Z,67,antonioforcalifornia,Democratic Party
Aravella Simotas,AravellaSimotas,2009-05-01T00:00:00Z,37055926,female,Zimbabwe,1978-10-09T00:00:00Z,42,,Democratic Party
Ari Fleischer,AriFleischer,,,male,United States of America,1960-10-13T00:00:00Z,60,,Republican Party
Arianna Huffington,ariannahuff,2009-02-25T00:00:00Z,21982720,female,Greece,1950-07-15T00:00:00Z,70,ariannahuff,Democratic Party
Arne Duncan,arneduncan,2015-12-27T00:00:00Z,4662969794,male,United States of America,1964-11-06T00:00:00Z,56,,Democratic Party
Arthur B. Robinson,artforcongress,,t2087572521,male,United States of America,1942-03-24T00:00:00Z,78,,Republican Party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,9.60397E+17,male,United States of America,1948-01-01T00:00:00Z,72,,Republican Party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,9.60397E+17,male,United States of America,1948-01-01T00:00:00Z,72,,American Nazi Party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,9.60397E+17,male,United States of America,1948-01-01T00:00:00Z,72,,Populist Party
Arthur Purves,votepurves,2011-01-22T00:00:00Z,241674047,male,Germany,1949-02-21T00:00:00Z,71,,Republican Party
Artur Davis,ArturDavis,2009-01-28T00:00:00Z,19677673,male,United States of America,1967-10-09T00:00:00Z,53,,Republican Party
Artur Davis,ArturDavis,2009-01-28T00:00:00Z,19677673,male,United States of America,1967-10-09T00:00:00Z,53,,Democratic Party
Arturs Krišjānis Kariņš,krisjaniskarins,2009-12-28T00:00:00Z,99914275,male,United States of America,1964-12-13T00:00:00Z,55,,Unity
Asa Hutchinson,AsaHutchinson,2011-03-21T00:00:00Z,269992801,male,United States of America,1950-12-03T00:00:00Z,69,govasahutchinson,Republican Party
Ash Kalra,Ash_Kalra,,,male,Canada,1972-01-21T00:00:00Z,48,ash_kalra,California Democratic Party
Ashley Hinson,hinsonashley,2008-12-01T00:00:00Z,18189966,female,United States of America,1983-06-27T00:00:00Z,37,ahinsonwbal,Republican Party of Iowa
Ashley Hinson,hinsonashley,2008-12-17T00:00:00Z,18189966,female,United States of America,1983-06-27T00:00:00Z,37,ahinsonwbal,Republican Party of Iowa
Augustus Sol Invictus,EmperorInvictus,2015-05-18T00:00:00Z,3219461544,male,United States of America,1983-07-31T00:00:00Z,37,thewizardofthorntonpark,Libertarian Party
Aumua Amata,RepAmata,2009-01-24T00:00:00Z,19447958,female,United States of America,1947-12-29T00:00:00Z,72,,Republican Party
Aumua Amata,amata96799,2009-01-24T00:00:00Z,19447958,female,United States of America,1947-12-29T00:00:00Z,72,,Republican Party
Aumua Amata,RepAmata,2015-02-09T00:00:00Z,3026622545,female,United States of America,1947-12-29T00:00:00Z,72,,Republican Party
Aumua Amata,amata96799,2015-02-09T00:00:00Z,3026622545,female,United States of America,1947-12-29T00:00:00Z,72,,Republican Party
Austin Petersen,AP4Liberty,,,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Republican Party
Austin Petersen,the_producer14,,,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Republican Party
Austin Petersen,AP4Liberty,,,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Libertarian Party
Austin Petersen,the_producer14,,,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Libertarian Party
Austin Petersen,AP4Liberty,2015-12-31T00:00:00Z,4686170306,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Republican Party
Austin Petersen,the_producer14,2015-12-31T00:00:00Z,4686170306,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Republican Party
Austin Petersen,AP4Liberty,2015-12-31T00:00:00Z,4686170306,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Libertarian Party
Austin Petersen,the_producer14,2015-12-31T00:00:00Z,4686170306,male,United States of America,1981-02-19T00:00:00Z,39,ap4liberty,Libertarian Party
Austin Scott,AustinScottGA08,2011-01-06T00:00:00Z,234797704,male,United States of America,1969-12-10T00:00:00Z,50,,Republican Party
Ayanna Pressley,RepPressley,2019-01-02T00:00:00Z,1.08058E+18,female,United States of America,1974-02-03T00:00:00Z,46,ayannapressley,Democratic Party
Ayanna Pressley,AyannaPressley,2019-01-02T00:00:00Z,1.08058E+18,female,United States of America,1974-02-03T00:00:00Z,46,ayannapressley,Democratic Party
Ayanna Pressley,RepPressley,2009-04-14T00:00:00Z,31013444,female,United States of America,1974-02-03T00:00:00Z,46,ayannapressley,Democratic Party
Ayanna Pressley,AyannaPressley,2009-04-14T00:00:00Z,31013444,female,United States of America,1974-02-03T00:00:00Z,46,ayannapressley,Democratic Party
Barack Obama,BarackObama,2013-06-01T00:00:00Z,8.22216E+17,male,United States of America,1961-08-04T00:00:00Z,59,barackobama,Democratic Party
Barack Obama,BarackObama,2013-06-21T00:00:00Z,1536791610,male,United States of America,1961-08-04T00:00:00Z,59,barackobama,Democratic Party
Barack Obama,BarackObama,2017-01-20T00:00:00Z,1536791610,male,United States of America,1961-08-04T00:00:00Z,59,barackobama,Democratic Party
Barack Obama,BarackObama,2007-03-05T00:00:00Z,813286,male,United States of America,1961-08-04T00:00:00Z,59,barackobama,Democratic Party
Barbara Boxer,Barbara_Boxer,,,female,United States of America,1940-11-11T00:00:00Z,80,senatorboxer,Democratic Party
Barbara Buono,BarbaraBuono,,,female,United States of America,1953-07-28T00:00:00Z,67,,Democratic Party
Barbara Cegavske,VoteBarbara,2016-04-20T00:00:00Z,7.22854E+17,female,United States of America,1951-08-27T00:00:00Z,69,,Republican Party
Barbara Comstock,RepComstock,2014-12-20T00:00:00Z,2933760046,female,United States of America,1959-06-30T00:00:00Z,61,repbarbaracomstock,Republican Party
Barbara L'Italien,teambarbara,2010-09-02T00:00:00Z,186281365,female,United States of America,1961-01-03T00:00:00Z,59,,Democratic Party
Barbara Lee,repbarbaralee,2011-02-07T00:00:00Z,248735463,female,United States of America,1946-07-16T00:00:00Z,74,repbarbaralee,Democratic Party
Barbara Mikulski,senatorbarb,2010-04-12T00:00:00Z,132278386,female,United States of America,1936-07-20T00:00:00Z,84,,Democratic Party
Barney Frank,barneyfrank,2013-07-22T00:00:00Z,1614054846,male,United States of America,1940-03-31T00:00:00Z,80,,Democratic Party
Barry Finegold,Barry_Finegold,,,male,United States of America,1971-03-03T00:00:00Z,49,,Democratic Party
Barry Knight,BarryKnight81,2015-02-20T00:00:00Z,3047585753,male,United States of America,1954-09-26T00:00:00Z,66,,Republican Party
Barry Loudermilk,RepLoudermilk,2014-12-10T00:00:00Z,2914163523,male,United States of America,1963-12-22T00:00:00Z,56,reploudermilk,Republican Party
Bart Stupak,RealBartStupak,2017-07-10T00:00:00Z,8.84486E+17,male,United States of America,1952-02-29T00:00:00Z,68,,Democratic Party
Ben Barnes,benbarnes,2014-12-05T00:00:00Z,2920014210,male,United States of America,1938-04-17T00:00:00Z,82,,Democratic Party
Ben Bernanke,BenBernanke,2009-06-26T00:00:00Z,51205137,male,United States of America,1953-12-13T00:00:00Z,66,,Republican Party
Ben Cardin,SenatorCardin,2010-01-27T00:00:00Z,109071031,male,United States of America,1943-10-05T00:00:00Z,77,senatorcardin,Democratic Party
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,independent politician
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,independent politician
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Democratic Party
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Democratic Party
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Republican Party
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Republican Party
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,independent politician
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,independent politician
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Democratic Party
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Democratic Party
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Republican Party
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,8.28613E+17,male,United States of America,1951-09-18T00:00:00Z,69,realbencarson,Republican Party
Ben Cline,Cline4Virginia,2009-05-15T00:00:00Z,40264497,male,United States of America,1972-02-29T00:00:00Z,48,,Republican Party
Ben McAdams,RepBenMcAdams,2010-09-28T00:00:00Z,196362083,male,United States of America,1974-12-05T00:00:00Z,45,repbenmcadams,Democratic Party
Ben McAdams,RepBenMcAdams,2010-09-28T00:00:00Z,196362083,male,United States of America,1974-12-05T00:00:00Z,45,repbenmcadams,Utah Democratic Party
Ben McAdams,RepBenMcAdams,,,male,United States of America,1974-12-05T00:00:00Z,45,repbenmcadams,Democratic Party
Ben McAdams,RepBenMcAdams,,,male,United States of America,1974-12-05T00:00:00Z,45,repbenmcadams,Utah Democratic Party
Ben R. Luján,repbenraylujan,2009-01-22T00:00:00Z,19318314,male,United States of America,1972-06-07T00:00:00Z,48,repbenraylujan,Democratic Party
Ben Sasse,SenSasse,2015-01-05T00:00:00Z,2962923040,male,United States of America,1972-02-22T00:00:00Z,48,senatorsasse,Republican Party
